Date,Henry,Algonquin Citygates,Chicago Citygates,TETCO-M3
2016-01-01,2.28,3.571253287179178,2.3496612509640893,1.7510925158704977
2016-01-02,2.3166666666666664,3.6772291252656375,2.3872120046853893,1.8061332320503696
2016-01-03,2.3533333333333335,3.783204963352098,2.4247627584066893,1.8611739482302418
2016-01-04,2.39,3.889180801438558,2.4623135121279893,1.9162146644101137
2016-01-05,2.33,3.7157657936607142,2.4008668242204076,1.8261480379339594
2016-01-06,2.37,3.8313757988459436,2.441831282825462,1.886192455584729
2016-01-07,2.35,3.7735707962533294,2.4213490535229347,1.8561702467593442
2016-01-08,2.47,4.120400811809016,2.544242429338098,2.036303499711652
2016-01-09,2.4933333333333336,4.187839981500399,2.56813836352438,2.0713294100079342
2016-01-10,2.5166666666666666,4.255279151191782,2.5920342977106614,2.1063553203042154
2016-01-11,2.54,4.322718320883165,2.615930231896943,2.141381230600498
2016-01-12,2.4,3.918083302734864,2.4725546267792526,1.9312257688228054
2016-01-13,2.28,3.571253287179178,2.3496612509640893,1.7510925158704977
2016-01-14,2.21,3.368935778105028,2.2779734484052443,1.6460147849816518
2016-01-15,2.18,3.2822282742161075,2.2472501044514535,1.6009814717435753
2016-01-16,2.18,3.2822282742161075,2.2472501044514535,1.6009814717435753
2016-01-17,2.18,3.2822282742161075,2.2472501044514535,1.6009814717435753
2016-01-18,2.18,3.2822282742161075,2.2472501044514535,1.6009814717435753
2016-01-19,2.23,3.426740780697642,2.2984556777077714,1.6760369938070365
2016-01-20,2.18,3.2822282742161075,2.2472501044514535,1.6009814717435753
2016-01-21,2.22,3.397838279401336,2.288214563056508,1.6610258893943444
2016-01-22,2.21,3.368935778105028,2.2779734484052443,1.6460147849816518
2016-01-23,2.1933333333333334,3.3207649426111834,2.2609049239864714,1.6209962776271647
2016-01-24,2.1766666666666667,3.272594107117338,2.243836399567699,1.5959777702726776
2016-01-25,2.16,3.2244232716234933,2.2267678751489264,1.5709592629181905
2016-01-26,2.26,3.5134482845865636,2.329179021661562,1.721070307045113
2016-01-27,2.26,3.5134482845865636,2.329179021661562,1.721070307045113
2016-01-28,2.15,3.1955207703271853,2.2165267604976626,1.555948158505498
2016-01-29,2.28,3.571253287179178,2.3496612509640893,1.7510925158704977
2016-01-30,2.28,3.571253287179178,2.3496612509640893,1.7510925158704977
2016-01-31,2.28,3.571253287179178,2.3496612509640893,1.7510925158704977
2016-02-01,2.28,3.571253287179178,2.3496612509640893,1.7510925158704977
2016-02-02,2.07,2.9643007599567275,2.1345978432875534,1.4358593232039598
2016-02-03,2.06,2.9353982586604213,2.12435672863629,1.4208482187912677
2016-02-04,2.07,2.9643007599567275,2.1345978432875534,1.4358593232039598
2016-02-05,2.08,2.9932032612530355,2.144838957938817,1.4508704276166524
2016-02-06,2.13,3.13771576773457,2.196044531195135,1.5259259496801136
2016-02-07,2.18,3.2822282742161075,2.2472501044514535,1.6009814717435753
2016-02-08,2.23,3.426740780697642,2.2984556777077714,1.6760369938070365
2016-02-09,2.17,3.2533257729197995,2.2370089898001897,1.5859703673308827
2016-02-10,2.16,3.2244232716234933,2.2267678751489264,1.5709592629181905
2016-02-11,2.15,3.1955207703271853,2.2165267604976626,1.555948158505498
2016-02-12,2.08,2.9932032612530355,2.144838957938817,1.4508704276166524
2016-02-13,2.08,2.9932032612530355,2.144838957938817,1.4508704276166524
2016-02-14,2.08,2.9932032612530355,2.144838957938817,1.4508704276166524
2016-02-15,2.08,2.9932032612530355,2.144838957938817,1.4508704276166524
2016-02-16,1.95,2.617470744401042,2.0117044674723905,1.2557260702516522
2016-02-17,1.93,2.559665741808427,1.9912222381698632,1.2257038614262679
2016-02-18,1.89,2.4440557366231985,1.9502577795648086,1.1656594437754983
2016-02-19,1.83,2.270640728845356,1.8888110916572272,1.075592817299345
2016-02-20,1.84,2.299543230141663,1.8990522063084907,1.0906039217120371
2016-02-21,1.85,2.32844573143797,1.9092933209597545,1.1056150261247297
2016-02-22,1.86,2.357348232734277,1.919534435611018,1.1206261305374219
2016-02-23,1.85,2.32844573143797,1.9092933209597545,1.1056150261247297
2016-02-24,1.85,2.32844573143797,1.9092933209597545,1.1056150261247297
