Date,Henry,Algonquin Citygates,Chicago Citygates,TETCO-M3
2017-01-01,3.71,7.704310972551103,3.8141406460947853,3.8976804468854955
2017-01-02,3.71,7.704310972551103,3.8141406460947853,3.8976804468854955
2017-01-03,3.41,6.83723593366189,3.5069072065568774,3.4473473145047273
2017-01-04,3.42,6.866138434958196,3.5171483212081407,3.4623584189174195
2017-01-05,3.42,6.866138434958196,3.5171483212081407,3.4623584189174195
2017-01-06,3.38,6.7505284297729675,3.476183862603086,3.40231400126665
2017-01-07,3.3,6.519308419402509,3.3942549453929773,3.282225165965112
2017-01-08,3.22,6.288088409032054,3.3123260281828686,3.1621363306635737
2017-01-09,3.14,6.056868398661595,3.23039711097276,3.0420474953620356
2017-01-10,3.21,6.259185907735746,3.302084913531605,3.1471252262508815
2017-01-11,3.27,6.432600915513588,3.3635316014391865,3.2371918527270354
2017-01-12,3.36,6.692723427180353,3.455701633300559,3.3722917924412656
2017-01-13,3.36,6.692723427180353,3.455701633300559,3.3722917924412656
2017-01-14,3.36,6.692723427180353,3.455701633300559,3.3722917924412656
2017-01-15,3.36,6.692723427180353,3.455701633300559,3.3722917924412656
2017-01-16,3.36,6.692723427180353,3.455701633300559,3.3722917924412656
2017-01-17,3.37,6.721625928476661,3.4659427479518228,3.387302896853958
2017-01-18,3.26,6.40369841421728,3.3532904867879227,3.2221807483143423
2017-01-19,3.25,6.374795912920974,3.3430493721366594,3.20716964390165
2017-01-20,3.23,6.31699091032836,3.3225671428341323,3.177147435076266
2017-01-21,3.2066666666666666,6.249551740636977,3.2986712086478502,3.142121524779984
2017-01-22,3.1833333333333336,6.182112570945594,3.274775274461569,3.107095614483702
2017-01-23,3.16,6.114673401254211,3.250879340275287,3.07206970418742
2017-01-24,3.16,6.114673401254211,3.250879340275287,3.07206970418742
2017-01-25,3.26,6.40369841421728,3.3532904867879227,3.2221807483143423
2017-01-26,3.44,6.92394343755081,3.5376305505106678,3.492380627742804
2017-01-27,3.31,6.548210920698817,3.404496060044241,3.297236270377804
2017-01-28,3.2800000000000002,6.461503416809896,3.3737727160904503,3.2522029571397275
2017-01-29,3.25,6.374795912920974,3.3430493721366594,3.20716964390165
2017-01-30,3.22,6.288088409032054,3.3123260281828686,3.1621363306635737
2017-01-31,3.0,5.652233380513295,3.087021505855069,2.8318920335843427
2017-02-01,3.15,6.085770899957903,3.240638225624023,3.0570585997747277
2017-02-02,3.13,6.027965897365287,3.220155996321496,3.0270363909493425
2017-02-03,3.13,6.027965897365287,3.220155996321496,3.0270363909493425
2017-02-04,3.06,5.825648388291138,3.148468193762651,2.9219586600604974
2017-02-05,2.9899999999999998,5.623330879216987,3.076780391203805,2.8168809291716506
2017-02-06,2.92,5.421013370142837,3.00509258864496,2.7118031982828046
2017-02-07,3.03,5.738940884402216,3.11774484980886,2.87692534682242
2017-02-08,3.05,5.79674588699483,3.138227079111387,2.9069475556478044
2017-02-09,3.11,5.970160894772673,3.1996737670189686,2.997014182123958
2017-02-10,3.11,5.970160894772673,3.1996737670189686,2.997014182123958
